,grupo_linha,faixa,faixa_15,stop_name,ordem,boardings,alightings,cum_board,cum_alight,carga_abordo,data,qtd_partidas
127,b1_b2_b3_volta,7,07:30–07:45,pra_nos,7,6.0,0.0,106.0,13.0666666666667,92.9333333333333,2025-10-06,5.0
128,b1_b2_b3_volta,7,07:30–07:45,est_pit,8,121.852092352092,1.33333333333333,227.852092352092,14.4,213.452092352092,2025-10-06,10.0
129,b1_b2_b3_volta,7,07:30–07:45,est_ita,9,11.8461538461538,4.36363636363636,239.698246198246,18.7636363636364,220.93460983461,2025-10-06,11.0
130,b1_b2_b3_volta,7,07:30–07:45,est_prq,10,34.1,2.15384615384615,273.798246198246,20.9174825174825,252.880763680764,2025-10-06,11.0
131,b1_b2_b3_volta,7,07:30–07:45,est_cid,11,35.9318181818182,2.46363636363636,309.730064380064,23.3811188811189,286.348945498946,2025-10-06,12.0
132,b1_b2_b3_volta,7,07:30–07:45,est_hip,12,59.5643153526971,81.6870462870463,369.294379732761,105.068165168165,264.226214564596,2025-10-06,12.0
133,b1_b2_b3_volta,7,07:30–07:45,est_rod,13,0.0,264.226214564596,369.294379732761,369.294379732762,-5.6843418860808e-14,2025-10-06,11.0
134,b1_b2_b3_volta,7,07:45–08:00,pt_bimba,1,37.3333333333333,0.0,37.3333333333333,0.0,37.3333333333333,2025-10-06,7.0
135,b1_b2_b3_volta,7,07:45–08:00,qua_ama,2,11.0,0.0,48.3333333333333,0.0,48.3333333333333,2025-10-06,6.0
136,b1_b2_b3_volta,7,07:45–08:00,pra_joao,3,13.0,1.77777777777778,61.3333333333333,1.77777777777778,59.5555555555556,2025-10-06,5.0
137,b1_b2_b3_volta,7,07:45–08:00,pt_largo,4,3.0,0.0,64.3333333333333,1.77777777777778,62.5555555555556,2025-10-06,5.0
138,b1_b2_b3_volta,7,07:45–08:00,pt_para,5,10.0,10.4222222222222,74.3333333333333,12.2,62.1333333333333,2025-10-06,5.0
139,b1_b2_b3_volta,7,07:45–08:00,pt_paraiba,6,7.0,0.0,81.3333333333333,12.2,69.1333333333333,2025-10-06,4.0
140,b1_b2_b3_volta,7,07:45–08:00,pra_nos,7,0.0,1.1,81.3333333333333,13.3,68.0333333333333,2025-10-06,3.0
141,b1_b2_b3_volta,7,07:45–08:00,est_pit,8,107.877579365079,2.91666666666667,189.210912698413,16.2166666666667,172.994246031746,2025-10-06,13.0
142,b1_b2_b3_volta,7,07:45–08:00,est_ita,9,22.2307692307692,1.4375,211.441681929182,17.6541666666667,193.787515262515,2025-10-06,11.0
143,b1_b2_b3_volta,7,07:45–08:00,est_prq,10,24.38,5.36057692307692,235.821681929182,23.0147435897436,212.806938339438,2025-10-06,11.0
144,b1_b2_b3_volta,7,07:45–08:00,est_cid,11,31.695652173913,4.25047619047619,267.517334103095,27.2652197802198,240.252114322875,2025-10-06,12.0
145,b1_b2_b3_volta,7,07:45–08:00,est_hip,12,52.8189655172414,80.0896435207305,320.336299620336,107.35486330095,212.981436319386,2025-10-06,11.0
146,b1_b2_b3_volta,7,07:45–08:00,est_rod,13,0.0,212.981436319386,320.336299620336,320.336299620336,0.0,2025-10-06,13.0
147,b1_b2_b3_volta,8,08:00–08:15,pt_bimba,1,39.5,0.0,39.5,0.0,39.5,2025-10-06,5.0
148,b1_b2_b3_volta,8,08:00–08:15,qua_ama,2,14.0,0.0,53.5,0.0,53.5,2025-10-06,6.0
149,b1_b2_b3_volta,8,08:00–08:15,pra_joao,3,16.0,1.55555555555556,69.5,1.55555555555556,67.9444444444444,2025-10-06,6.0
150,b1_b2_b3_volta,8,08:00–08:15,pt_largo,4,8.0,0.0,77.5,1.55555555555556,75.9444444444444,2025-10-06,4.0
151,b1_b2_b3_volta,8,08:00–08:15,pt_para,5,10.0,14.1777777777778,87.5,15.7333333333333,71.7666666666667,2025-10-06,4.0
152,b1_b2_b3_volta,8,08:00–08:15,pt_paraiba,6,0.0,1.6,87.5,17.3333333333333,70.1666666666667,2025-10-06,5.0
153,b1_b2_b3_volta,8,08:00–08:15,pra_nos,7,13.0,0.0,100.5,17.3333333333333,83.1666666666667,2025-10-06,6.0
154,b1_b2_b3_volta,8,08:00–08:15,est_pit,8,87.5224828934506,2.0,188.022482893451,19.3333333333333,168.689149560117,2025-10-06,12.0
155,b1_b2_b3_volta,8,08:00–08:15,est_ita,9,20.7692307692308,0.0,208.791713662681,19.3333333333333,189.458380329348,2025-10-06,14.0
156,b1_b2_b3_volta,8,08:00–08:15,est_prq,10,36.1025641025641,2.30769230769231,244.894277765246,21.6410256410256,223.25325212422,2025-10-06,14.0
157,b1_b2_b3_volta,8,08:00–08:15,est_cid,11,26.0882352941176,7.89404466501241,270.982513059363,29.535070306038,241.447442753325,2025-10-06,13.0
158,b1_b2_b3_volta,8,08:00–08:15,est_hip,12,59.6842105263158,83.1030747557313,330.666723585679,112.638145061769,218.02857852391,2025-10-06,14.0
159,b1_b2_b3_volta,8,08:00–08:15,est_rod,13,0.0,218.02857852391,330.666723585679,330.666723585679,0.0,2025-10-06,13.0
160,b1_b2_b3_volta,8,08:15–08:30,pt_bimba,1,32.1333333333333,0.0,32.1333333333333,0.0,32.1333333333333,2025-10-06,4.0
161,b1_b2_b3_volta,8,08:15–08:30,qua_ama,2,10.0,0.0,42.1333333333333,0.0,42.1333333333333,2025-10-06,3.0
162,b1_b2_b3_volta,8,08:15–08:30,pra_joao,3,7.0,4.73333333333333,49.1333333333333,4.73333333333333,44.4,2025-10-06,4.0
163,b1_b2_b3_volta,8,08:15–08:30,pt_largo,4,17.0,1.4,66.1333333333333,6.13333333333333,60.0,2025-10-06,6.0
164,b1_b2_b3_volta,8,08:15–08:30,pt_para,5,6.0,7.4,72.1333333333333,13.5333333333333,58.6,2025-10-06,4.0
165,b1_b2_b3_volta,8,08:15–08:30,pra_nos,7,9.0,2.88333333333333,81.1333333333333,16.4166666666667,64.7166666666667,2025-10-06,4.0
166,b1_b2_b3_volta,8,08:15–08:30,est_pit,8,84.3047619047619,0.0,165.438095238095,16.4166666666667,149.021428571429,2025-10-06,7.0
167,b1_b2_b3_volta,8,08:15–08:30,est_ita,9,35.8684210526316,0.0,201.306516290727,16.4166666666667,184.88984962406,2025-10-06,7.0
168,b1_b2_b3_volta,8,08:15–08:30,est_prq,10,29.6,6.37593984962406,230.906516290727,22.7926065162907,208.113909774436,2025-10-06,8.0
169,b1_b2_b3_volta,8,08:15–08:30,est_cid,11,19.4,2.47017543859649,250.306516290727,25.2627819548872,225.04373433584,2025-10-06,8.0
170,b1_b2_b3_volta,8,08:15–08:30,est_hip,12,58.198347107438,74.0865914786967,308.504863398165,99.349373433584,209.155489964581,2025-10-06,8.0
171,b1_b2_b3_volta,8,08:15–08:30,est_rod,13,0.0,209.155489964581,308.504863398165,308.504863398165,0.0,2025-10-06,9.0
172,b1_b2_b3_volta,8,08:30–08:45,pt_bimba,1,33.6,0.0,33.6,0.0,33.6,2025-10-06,4.0
173,b1_b2_b3_volta,8,08:30–08:45,qua_ama,2,3.0,0.0,36.6,0.0,36.6,2025-10-06,5.0
174,b1_b2_b3_volta,8,08:30–08:45,pra_joao,3,7.0,0.0,43.6,0.0,43.6,2025-10-06,5.0
175,b1_b2_b3_volta,8,08:30–08:45,pt_largo,4,5.0,0.0,48.6,0.0,48.6,2025-10-06,5.0
176,b1_b2_b3_volta,8,08:30–08:45,pt_para,5,16.0,4.6,64.6,4.6,60.0,2025-10-06,7.0
177,b1_b2_b3_volta,8,08:30–08:45,pt_paraiba,6,5.0,0.0,69.6,4.6,65.0,2025-10-06,6.0
178,b1_b2_b3_volta,8,08:30–08:45,pra_nos,7,9.0,0.0,78.6,4.6,74.0,2025-10-06,5.0
179,b1_b2_b3_volta,8,08:30–08:45,est_pit,8,80.38,2.8,158.98,7.4,151.58,2025-10-06,10.0
