grupo_linha,faixa,faixa_15,estacao_pico,carga_maxima,data,qtd_partidas
b3_ida,7,07:30–07:45,est_rod,447.474641481402,2025-10-06,8.0
b3_ida,7,07:45–08:00,est_rod,341.43728385089,2025-10-06,7.0
b3_ida,8,08:00–08:15,est_rod,275.086077049645,2025-10-06,5.0
b3_ida,8,08:15–08:30,est_rod,257.537423697574,2025-10-06,4.0
b3_ida,8,08:30–08:45,est_rod,264.145183626863,2025-10-06,6.0
b3_ida,8,08:45–09:00,est_rod,171.914972913138,2025-10-06,4.0
b3_ida,9,09:00–09:30,est_rod,289.138038657255,2025-10-06,5.0
b3_ida,9,09:30–10:00,est_rod,254.935028110746,2025-10-06,3.0
b3_ida,10,10:00–10:30,est_rod,167.055124295764,2025-10-06,3.0
b3_ida,10,10:30–11:00,est_rod,177.606609173745,2025-10-06,3.0
b3_ida,11,11:00–11:30,rua_bah,213.965811965812,2025-10-06,3.0
b3_ida,11,11:30–12:00,est_rod,161.279371909762,2025-10-06,4.0
b3_ida,12,12:00–12:30,est_rod,188.137721567457,2025-10-06,5.0
b3_ida,12,12:30–13:00,est_rod,224.763523769964,2025-10-06,4.0
b3_ida,13,13:00–13:30,est_rod,183.832468222486,2025-10-06,3.0
b3_ida,13,13:30–14:00,est_rod,176.118759333533,2025-10-06,3.0
b3_ida,14,14:00–14:30,rua_bah,145.350431034483,2025-10-06,3.0
b3_ida,14,14:30–15:00,rua_bah,169.416666666667,2025-10-06,3.0
b3_ida,15,15:00–15:30,rua_bah,241.666666666667,2025-10-06,4.0
b3_ida,15,15:30–16:00,rua_bah,278.213768115942,2025-10-06,4.0
b3_ida,16,16:00–16:15,rua_bah,160.0,2025-10-06,3.0
b3_ida,16,16:15–16:30,rua_bah,127.724164133739,2025-10-06,3.0
b3_ida,16,16:30–16:45,rua_bah,119.2,2025-10-06,3.0
b3_ida,16,16:45–17:00,rua_bah,121.111111111111,2025-10-06,3.0
b3_ida,17,17:00–17:15,rua_bah,211.666666666667,2025-10-06,5.0
b3_ida,17,17:15–17:30,rua_bah,189.704968944099,2025-10-06,5.0
